𦣺	自丨 og
𦩋	舟 ir
𦳞	⺿丰 la
𨃅	⻊丰 pa
𩋂	革 tr
𩎻	韋 gr
𩏞	韋糸 gi
𩑢	不頁 cw
辦	辛 nn
闆	門口 ad
粄	米又 pr
跘	⻊ pu
絆	糹 iu
頒	八頁 hw
肦	⺼刀 vp
舨	舟又 ir
蝂	虫又 cr
搫	舟手 iu
怑	忄 hu
朌	月刀 vp
姅	女 bu
鳻	八鳥 hx
鈑	金又 zr
鉡	金 zu
㚘	夫夫 hh
㩯	扌糸 ui
㪵	丷斗 hj
㸞	片片 aa
䉽	米 pu
䕰	艹田 lq
䬳	飠 qu
坢	土 gu
岅	山又 vr
斒	文 vi
瓪	瓦又 rr
秚	禾 xu
螁	虫辶 cu
螌	舟虫 ic
褩	舟衣 it
辬	辛 nn
魬	魚又 wr
𠔯	㇏ hi
𠚼	八刂 hp
𠦒	艹丰 la
𠧫	⺊夊 yh
𠯘	口又 dr
𠺚	口王 dn
𡯘	尢又 or
𢲔	扌王 un
𢴬	扌王 un
𣪂	⺆殳 mr
𤡰	犭王 mn
𤦦	王王 nn
𤫫	八瓜 hy
𤳖	丿厶 tk
𥷁	⺮辛 rn
𥹓	米厶 pk
𦎊	⺶八 gh
𦙹	月乂 vb
𦝤	月业 vc
𧇥	虎木 ze
𧌿	片虫 ac
𨐦	虫 nc
𨐱	辛 nn
𨐾	⺄辛 an
𩔮	王頁 nw
𩢔	馬 nu
𩭧	镸十 pn
𩿉	鳥刀 xp
𪄕	王鳥 nx
𪒋	黑殳 pr
旁	方 il
彭	彡 he
幫	土巾 gr
髈	骨方 fl
綁	糹阝 it
棓	木口 ed
牓	片方 al
蜯	虫 cu
艕	舟方 il
蚄	虫方 cl
鎊	金方 zl
㔙	䒑力 hs
㭋	木丰 ea
㮄	木方 el
㯁	木口 ed
㾦	疒口 ad
䂜	石丰 ma
䎧	耒口 ad
䖫	虫干 ce
䟺	⻊貝 po
䧛	阝方 tl
䰷	魚丰 wa
垹	土阝 gt
幇	土巾 gr
幚	巾 ar
挷	扌阝 ut
捠	扌 uh
硥	石彡 me
稖	禾口 xd
縍	糹方 il
蛖	虫彡 ce
謗	言方 sl
邫	巴 am
鞤	土革 gt
𠨵	厂丰 xa
𠬣	一又 fr
𠲑	丷乙 ha
𡽲	山方 vl
𢁏	⺧己 qv
𢄎	巾方 rl
𢜗	忄 hu
𢪋	扌丰 ua
𢮏	手口 ud
𢶶	扌心 uh
𢸌	扌巾 ur
𣘙	木阝 et
𣮡	大毛 mv
𣮧	䒑毛 hv
𤚰	牜方 ql
𤱵	丷田 hq
𥀂	土皮 gr
𦰥	艹阝 lt
𦾭	⺿方 ll
𨢐	酉方 yl
𩋮	革寸 tk
𩍗	革方 tl
𩦠	馬刂 np
𩮗	镸立 pi
報	土又 gr
寶	宀貝 wo
寳	宀貝 wo
飽	飠巳 qv
铇	钅巳 zv
剝	彑刂 bp
勹	勹 nk
骲	骨巳 fv
媬	女木 be
襃	衣木 te
鉋	金巳 zv
駂	匕馬 vn
鑤	金氺 zk
寚	宀缶 wa
怉	忄巳 hv
犦	牜氺 qk
虣	一虎 fz
裦	衣丿 tt
鴇	匕鳥 vx
㙅	土木 ge
㙸	土㇏ gi
㫧	日米 op
㲏	片毛 av
㲒	句毛 gv
㵡	氵巳 kv
㻄	王疋 nt
㿺	日皮 or
䈏	⺮田 rq
䎂	羽巳 zv
䤖	酉氺 yk
䥤	金巳 zv
䨌	⻗儿 tp
䨔	⻗光 tm
䪨	音丶 xi
䭋	飠木 qe
䳈	鳥巳 xv
䳰	亻鳥 jx
䴐	宀鳥 wx
佨	亻巳 jv
儤	亻氺 jk
勽	勹人 nj
嚗	口氺 dk
堢	土木 ge
宲	宀木 we
忁	彳氺 wk
曓	日一 of
犳	犭丶 mi
珤	王缶 na
窇	穴巳 ev
笣	⺮巳 rv
緥	糹木 ie
菢	艹巳 lv
蕔	艹又 lr
藵	艹衣 lt
蚫	虫巳 cv
袌	衣巳 tv
賲	亻貝 jo
闁	門門 aa
靌	⻗貝 to
飹	飠卯 qb
髱	镸巳 pv
鮑	魚巳 wv
鳵	⺄鳥 ax
齙	齒巳 lv
𠅬	亠攴 zh
𠣒	勹二 nm
𠣺	冫巳 wv
𠤏	匕十 vn
𠹕	口丶 di
𡂟	口巳 dv
𡉩	土犬 gm
𡧖	宀八 wh
𡶄	山巳 vv
𢼌	勹攴 nh
𣋳	日灬 oc
𣭀	勹毛 nv
𤔣	爫又 yr
𤝧	犭丶 mi
𤞥	犭木 me
𤿈	勹皮 nr
𥄹	目巳 qv
𥭓	⺮丶 ri
𦡕	月巳 vv
𦢊	月氺 vk
𧘑	衤丶 ti
𧝘	衤臼 tp
𧭤	言氺 sk
𧵢	貝巳 ov
𨇅	⻊氺 pk
𨚔	勹阝 nt
𨠖	酉巳 yv
𨰦	金貝 zo
𨰻	金金 zz
𩊅	革卯 tb
𩍂	阝革 tt
𩛞	子 qh
𩬽	镸木 pe
𩭼	镸木 pe
𩾡	鳥丶 xi
𩿓	鳥牛 xq
𪏶	禾巳 xv
勃	十力 ns
輩	非車 ry
貝	貝 ob
備	亻 jt
盃	不皿 ca
庳	广十 xn
苝	艹匕 lv
鞞	革十 tn
杮	木巾 er
揹	扌⺝ uv
柸	木一 ef
軰	車 ay
骳	骨皮 fr
桮	木口 ed
鉳	金匕 zv
俻	亻田 jq
偹	亻田 jq
諀	言十 sn
箄	⺮十 rn
鋇	金貝 zo
㓈	冫石 wm
㔨	勹⺝ nv
㛝	女貝 bo
㣁	弓 bt
㤳	忄口 hd
㰆	十木 ne
㶔	氵大 km
㷶	亻灬 jc
㸢	片 at
㸬	牜巾 qr
㸽	牜貝 qo
㻗	非丶 ri
㼎	瓜乂 yb
㽡	田十 qn
㾱	疒儿 ap
䁅	目皿 qa
䋳	糹⺝ iv
䔒	艹口 ld
䠙	⻊方 pl
䡶	車辛 yn
䩀	非貝 ro
䰽	魚巾 wr
偝	亻⺝ jv
僃	亻 jt
愂	十心 nh
憊	亻心 jh
昁	日巾 or
梖	木貝 eo
棑	木非 er
牬	牜𠂔 qt
犕	牜 qt
狽	犭貝 mo
珼	王貝 no
禙	礻⺝ fv
藣	艹匕 lv
蛽	虫貝 co
誖	言子 sh
郥	貝阝 ot
鄁	阝 at
鵯	白鳥 ux
𠋭	亻口 jd
𠐡	亻車 jy
𠢥	弗力 ts
𡋭	土 ag
𡥞	爫子 yh
𡰯	尸巾 cr
𢂏	一巾 fr
𢃍	巾十 rn
𢴾	扌心 uh
𢻵	一攴 fh
𣎵	凵木 me
𣖾	木 et
𣝁	木十 en
𣬍	⺿匕 lv
𣬪	一毛 fv
𤜲	一犬 fm
𤰈	卝用 lt
𤳦	田大 qm
𤵛	疒一 af
𤷁	疒土 ag
𤷒	疒十 an
𤹲	疒田 aq
𤿒	皮入 rj
𤿾	白皮 ur
𥏓	矢廾 ol
𥶓	⺮匕 rv
𦈧	缶不 ac
𦈶	缶口 ad
𦩖	舟十 in
𦮷	⺿貝 lo
𦾙	艹十 ln
𧉥	虫 ac
𧋲	亠虫 zc
𧶙	貝 ao
𧼠	走十 pn
𨚍	阝 vt
𩇩	大 mr
𩔹	彡頁 ew
𩖠	⺇女 ob
𩚾	食 aq
夲	大十 mn
漰	氵月 kv
喯	口廾 dl
炃	八火 hc
坋	土刀 gp
奙	厶乚 ka
泍	氵一 kf
渀	氵廾 kl
錛	金廾 zl
㡷	广一 xf
㤓	忄一 hf
㨧	扌田 uq
㮺	木口 ed
㱵	歹貝 go
䬱	飠一 qf
捹	扌廾 ul
撪	扌車 uy
桳	木十 en
楍	木口 ed
翉	木羽 ez
蟦	虫貝 co
賁	十貝 no
逩	大辶 mu
𡗢	大㐄 mv
𡗲	大斤 mt
𣄏	方田 lq
𣳰	氵丁 ka
𣴞	氵土 kg
𥢊	禾貝 xo
𦯀	⺿土 lg
𨋒	車廾 yl
𩣺	馬廾 nl
𩰶	鬲亥 nk
𪊜	鹿一 xf
𪎝	⿇一 zf
𪑖	黑廾 pl
繃	糹月 iv
嗙	口方 dl
綳	糹月 iv
